"Tabela 254 - Número de informantes e Quantidade estocada no último dia do semestre, por produtos, tipo de propriedade da empresa e tipo de atividade do estabelecimento"
"Variável - Quantidade estocada (Toneladas)"
"Unidade da Federação";"Tipo de atividade do estabelecimento";"Semestre x Produtos x Tipo de propriedade da empresa"
"Unidade da Federação";"Tipo de atividade do estabelecimento";"2º semestre 2007";;;;"1º semestre 2008";;;;"2º semestre 2008";;;;"1º semestre 2009";;;;"2º semestre 2009";;;;"1º semestre 2010";;;;"2º semestre 2010";;;;"1º semestre 2011";;;;"2º semestre 2011";;;;"1º semestre 2012";;;;"2º semestre 2012";;;;"1º semestre 2013";;;;"2º semestre 2013";;;;"1º semestre 2014";;;;"2º semestre 2014";;;;"1º semestre 2015";;;;"2º semestre 2015";;;;"1º semestre 2016";;;;"2º semestre 2016";;;;"1º semestre 2017";;;;"2º semestre 2017";;;;"1º semestre 2018";;;;"2º semestre 2018";;;;"1º semestre 2019";;;;"2º semestre 2019";;;;"1º semestre 2020";;;;"2º semestre 2020";;;;"1º semestre 2021";;;;"2º semestre 2021";;;;"1º semestre 2022"
"Unidade da Federação";"Tipo de atividade do estabelecimento";"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)";;;;"Soja (em grão)"
"Unidade da Federação";"Tipo de atividade do estabelecimento";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista";"Governo";"Iniciativa privada (exceto cooperativa)";"Cooperativa";"Economia mista"
"Rondônia";"Comércio (exceto supermercado)";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"33138";"-";"-";"-";"-";"-";"-";"-";"29394";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"36801";"-";"-"
"Rondônia";"Supermercado";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"Indústria";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-"
"Rondônia";"Serviço de armazenagem";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"X";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"33600";"-";"-";"-";"-";"-";"-";"-";"23701";"-";"-";"-";"X";"-";"-";"-";"13369";"-";"-";"-";"X";"-";"-";"-";"18723";"-";"-"
"Rondônia";"Produção agropecuária";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10835";"-";"-"
"Acre";"Comércio (exceto supermercado)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acre";"Supermercado";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Acre";"Indústria";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acre";"Serviço de armazenagem";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-"
"Acre";"Produção agropecuária";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amazonas";"Comércio (exceto supermercado)";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amazonas";"Supermercado";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"Indústria";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amazonas";"Serviço de armazenagem";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"X";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-"
"Amazonas";"Produção agropecuária";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Roraima";"Comércio (exceto supermercado)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-"
"Roraima";"Supermercado";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"Indústria";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-"
"Roraima";"Serviço de armazenagem";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-"
"Roraima";"Produção agropecuária";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-"
"Pará";"Comércio (exceto supermercado)";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"60712";"-";"-";"-";"X";"-";"-";"-";"13204";"-";"-"
"Pará";"Supermercado";"-";"X";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pará";"Indústria";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"3036";"-";"-";"-";"X";"-";"-";"-";"4588";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"37029";"-";"-";"-";"X";"-";"-";"-";"33503";"-";"-"
"Pará";"Serviço de armazenagem";"-";"873";"X";"-";"-";"5800";"-";"-";"-";"1559";"-";"-";"-";"7749";"-";"-";"-";"X";"-";"-";"-";"X";"X";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"X";"-";"-";"-";"5073";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"X";"-";"-";"-";"-";"-";"-";"-";"16790";"-";"-";"-";"X";"-";"-";"-";"29548";"X";"-";"-";"X";"-";"-";"-";"41203";"-";"-";"-";"-";"-";"-";"-";"10331";"-";"-";"-";"X";"-";"-";"-";"63408";"-";"-";"-";"X";"-";"-";"-";"57994";"-";"-"
